"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,58970,"02892","RI","Providence","Washington","Richmond",10120,280500,-0.00106837606837607,0.0115398485394879,0.0427509293680297,0.00411447422556122,-0.0223109444672984,"2006-01","2006-Q1",354300,-0.208298052497883,"2003-11"
2016-05-31,72850,"33839","FL","Lakeland","Polk","Eagle Lake",10121,100300,0.0182741116751269,0.0569020021074816,0.260050251256281,0.0926548885680017,-0.0249262407067512,"2007-02","2007-Q1",138500,-0.275812274368231,"2005-04"
2016-05-31,95168,"86324","AZ","Prescott","Yavapai","Clarkdale",10122,236000,0.000848176420695505,0.0115730818688384,0.0601976639712489,0.0630959072072981,-0.0196818716785448,"2007-01","2007-Q1",295100,-0.200271094544222,"2005-04"
2016-05-31,89953,"73128","OK","Oklahoma City","Oklahoma","Oklahoma City",10123,159200,-0.00188087774294671,-0.000627746390458255,0.0224791265253693,0.0225548544569207,0.0193768576524211,"2016-03","2016-Q1",159600,-0.0025062656641604,"2016-02"
2016-05-31,58930,"02832","RI","Providence","Washington","Hope Valley",10124,255700,0.00708940527766837,0.0285599356395817,0.0983676975945017,0.0114088736413298,-0.0138269859293345,"2005-12","2005-Q4",299500,-0.146243739565943,"2004-03"
2016-05-31,60108,"06043","CT","Hartford","Tolland","Bolton",10125,235600,-0.00464723278411491,-0.0109151973131822,-0.026848409748038,-0.00690065109210014,-0.0217678691428211,"2007-02","2007-Q1",304000,-0.225,"2003-04"
2016-05-31,78344,"46928","IN","Marion","Grant","Fairmount",10126,69900,0.00431034482758621,-0.00710227272727273,-0.033195020746888,-0.0033985493271087,-0.0216465240957562,"2004-10","2004-Q4",90600,-0.228476821192053,"1998-07"
2016-05-31,60248,"06331","CT","Worcester","Windham","Canterbury",10127,202100,-0.00197530864197531,-0.00492368291482029,-0.00443349753694581,-0.00487590280186645,-0.0249147294211706,"2007-07","2007-Q3",269800,-0.250926612305411,"2004-09"
2016-05-31,97344,"93591","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Palmdale",10128,149800,0.00739744451916611,0.023224043715847,0.0823699421965318,0.0314710218206282,,"2010-02","2010-Q1",151100,-0.0086035737921906,
2016-05-31,61962,"10983","NY","New York","Rockland","Tappan",10129,433900,0.00300508552935737,0.0204609595484478,0.00231000231000231,0.00653312466908584,-0.0207091307723042,"2006-02","2006-Q1",549600,-0.21051673944687,"2004-02"
2016-05-31,81160,"53033","WI","Milwaukee","Washington","Richfield",10130,258000,0.00663285212641436,0.0121616320125539,0.0595482546201232,0.0229753139263,0.00461093311367544,"2003-08","2003-Q3",272600,-0.053558327219369,"2003-03"
